City,Lat,Lon
PLANO,33.0136764,-96.6925096
AUSTIN,30.2711286,-97.7436995
HOUSTON,29.7589382,-95.3676974
DALLAS,-23.6475942,-46.5101346
SUGAR LAND,29.6196787,-95.6349463
COPPELL,32.9552598,-97.0155703
SAN ANTONIO,18.174167,-96.129722
EL PASO,-15.814123,-47.889946
KINGWOOD,30.0497077,-95.1846301
WICHITA FALLS,33.9004572,-98.5020777
MISSOURI CITY,29.6185669,-95.5377215
KATY,29.7857853,-95.8243956
SUGARLAND,29.4976035,-95.4426049
MANVEL,29.4664706,-95.355714
WEBSTER,29.5351724,-95.1161564
FRISCO,33.1506744,-96.8236116
LEWISVILLE,33.046233,-96.994174
LUBBOCK,33.5634402,-101.8792389
BASTROP,30.0541116,-97.3887764
HASLET,32.9616819,-97.34048541765975
ATHENS,32.2044416,-95.854914
MARFA,30.3117621,-104.023146
FORT WORTH,32.753177,-97.3327459
HENDERSON,32.182598,-95.7893178
ARLINGTON,32.7355816,-97.1071186
CYPRESS,29.9691116,-95.6971686
ROUND ROCK,30.5085915,-97.6788056
BEAUMONT,30.0860459,-94.1018461
HELOTES,29.5635688,-98.6884208
BELTON,31.0560132,-97.464453
DENISON,33.7556593,-96.536658
MCKINNEY,33.1976496,-96.6154471
SAN ANGELO,31.4649685,-100.4405094
SHERMAN,36.2452294,-101.8858689
CORPUS CHRISTI,27.7635302,-97.4033191
GALVESTON,29.3872254,-94.992736
KILLEEN,31.1171441,-97.727796
TEXARKANA,33.44667445,-94.07714830522015
CONROE,30.3118769,-95.4560512
TYLER,30.7563939,-94.3984613
ROWLETT,32.9029017,-96.56388
RICHMOND,29.5821811,-95.7607832
IRVING,32.8295183,-96.9442177
FORT HOOD,31.2012636,-97.70842502110759
MCALLEN,26.204114,-98.2300605
TEMPLE,31.098207,-97.3427847
SPRING,30.0798826,-95.4172549
CORPUS CHRISTIE,,
AMARILLO,35.2072185,-101.833824
FRIENDSWOOD,29.5293998,-95.2010447
LEANDER,30.5603086,-97.8553655
WACO,31.549333,-97.1466695
DENTON,33.1838787,-97.1413417
SOUTHLAKE,32.9412363,-97.1341783
FORT SAM HOUSTON,29.4623452,-98.43205583385978
HUTTO,30.5427638,-97.5468898
MOUNT PLEASANT,33.1570582,-94.9694007
TOMBALL,30.0971621,-95.6160549
MONTGOMERY,30.301949,-95.5065944
ODESSA,31.8457149,-102.367687
SHEPPARD AIR FORCE B,,
HUMBLE,29.9988312,-95.2621553
FT SAM HOUSTON,29.4623452,-98.43205583385978
CELINA,33.3234203,-96.7864112
PEARLAND,29.5639758,-95.2864299
BRYAN,30.6743643,-96.3699632
LONGVIEW,32.5007031,-94.74049
ALLEN,33.1031744,-96.6705503
BRENHAM,30.1668828,-96.3977442
LACKLAND AFB,29.3862862,-98.60090009131218
PASADENA,29.6910753,-95.2092076
BAYTOWN,29.7355047,-94.9774274
ROSENBERG,29.5571825,-95.8085623
HUNTSVILLE,30.7235263,-95.5507771
FULSHEAR,29.690292,-95.8996261
MANSFIELD,32.5631924,-97.1416768
NEVADA,33.0400671,-96.3730646
JBSA FT SAM HOUSTON,,
MURPHY,33.0151208,-96.6130478
WYLIE,33.0151561,-96.5388038
WOLFFORTH,33.5059189,-102.0090575
FT. BLISS,32.246382100000005,-106.37426168207492
LAREDO,16.6310622,-93.104496
GRANBURY,32.4407788,-97.7926088
MISSIOURI CITY,,
CLEBURNE,32.357365099999996,-97.40912169631659
NEW BRAUNFELS,29.7028266,-98.1257348
THE WOODLANDS,30.1734194,-95.504686
HARKER HEIGHTS,31.0746347,-97.6590473
LITTLE ELM,33.1626194,-96.9375051
WESTLAKE,32.991226,-97.1943701
PALESTINE,31.7621153,-95.6307891
CORSICANA,32.091299,-96.4646821
PORTLAND,27.8818828,-97.3188666
MISSION,29.93494545,-95.74034689574748
CEDAR PARK,30.5217116,-97.827833
SHENANDOAH,30.1802151,-95.4557726
PORT ARTHUR,29.8988618,-93.9288723
1504 BEN TAUB LOOP,29.7106109,-95.39342919183
HOUTON,,
HARLINGEN,26.1907543,-97.6960599
GRAND PRAIRIE,32.7459645,-96.9977846
JOINT BASE SAN ANTONIO-LACKLAND,29.3862862,-98.60090009131218
MESQUITE,32.7666103,-96.599472
"MCALLEN, TX",26.204114,-98.2300605
COLLEGE STATION,30.5955289,-96.3071042
ATLANTA,33.1162131,-94.1663493
REFUGIO,28.3171012,-97.2394101
JACKSBORO,33.2195301,-98.1642475
ALVIN,29.4238472,-95.2441009
JBSA-RANDOLPH,29.5290874,-98.27921963445846
GEORGETOWN,30.6326942,-97.6772311
ADDISON,32.960477850000004,-96.8300673063398
CEDAR HILL,32.5888072,-96.9553675
SUNNYVALE,32.7965165,-96.5608242
GRAPEVINE,32.9337381,-97.0788754
POMPANO BEACH,32.683463,-96.6645703
EDINBURG,26.3013982,-98.1624501
PHARR,26.1947962,-98.1836216
REKLAW,31.8623096,-94.9867806
NOT APPLICABLE,,
JBSA FORT SAM HOUSTON,,
FORT BLISS,32.246382100000005,-106.37426168207492
ABILENE,32.44645,-99.7475905
HAMLIN,32.8846756,-100.1296238
BAY CITY,28.9827565,-95.969402
CARROLLTON,32.9537349,-96.8902816
EDNA,28.9772626,-96.6462526
TERRELL,30.1990738,-102.0974881
NORTH RICHLAND HILLS,32.8342952,-97.2289029
BELLAIRE,29.7057858,-95.4588299
CANYON,34.9799429,-101.919197
FLOWER MOUND,33.0283854,-97.0867203
MIDLAND,31.83688,-102.0103767
LUFKIN,31.3386242,-94.7288558
KYLE,29.9892816,-97.877174
JONESTOWN,30.4954748,-97.9233468
DESOTO,32.5897831,-96.8570183
HURST,32.8234621,-97.1705678
BALCH SPRINGS,32.7287413,-96.6227714
BROWNSVILLE,25.9140277,-97.4890879
ALEDO,32.69900905,-97.60396629774493
BUDA,30.082475,-97.8417144
FT. WORTH,32.753177,-97.3327459
GARLAND,32.912624,-96.6388833
DENNISON,30.0068885,-95.8768969
ANDREWS,32.2690953,-102.6042447
BULVERDE,29.7438332,-98.4530729
LULING,29.680314,-97.6473265
RICHARDSON,32.9481789,-96.7297206
SAN ANTONIA,,
WAXAHACHIE,32.3944908,-96.8439365
PFLUGERVILLE,30.4393696,-97.6200043
LIVE OAK,28.2678746,-98.101923
DALHART,36.060408,-102.5180763
PARIS,-27.4715832,153.0044875
BIG SPRING,32.250398,-101.4787356
LEAGUE CITY,29.5074538,-95.0949303
JBSA-LACKLAND,,
JBSA LACKLAND,,
FARMERS BRANCH,32.9265137,-96.8961151
FORNEY,32.747893,-96.4719289
PROSPER,33.2385763,-96.7866058
BURLESON,30.4764878,-96.6353488
EULESS,32.8457865,-97.0667142473263
BEEVILLE,28.4008319,-97.7483312
SCHERTZ,29.5641617,-98.2695702
WELLINGTON,34.8559899,-100.2135865
DENVER CITY,32.9679571,-102.8293851
HEREFORD,34.8245521,-102.398778
LAKE JACKSON,29.0338575,-95.4343859
SUITE 540,30.6502477,-97.6767076
ROBINSON,31.4676687,-97.1147226
FT BLISS,32.246382100000005,-106.37426168207492
LAKEWAY,30.3644888,-97.9875325
MIDLOTHIAN,32.482361,-96.9944489
TROUP,32.144985,-95.1214981
VICTORIA,28.8026443,-96.9766308
WEST LAKE HILLS,30.2877039,-97.8068157
STAFFORD,29.6160671,-95.5577221
EDINBURGH,32.29687869999999,-95.26907868603786
BURNET,30.7763939,-98.1700016
WESLACO,26.1594305,-97.9907362
NASSAU BAY,29.5446753,-95.0910413
929 GESSNER RD.,29.7823372,-95.5453664
SAN MARCOS,29.8826436,-97.9405828
PLAINVIEW,34.1847936,-101.7068417
MERCEDES,26.1497977,-97.9136112
MADISONVILLE,30.9498688,-95.9127773
CARTHAGE,32.1570412,-94.338114
WEATHERFORD,32.7589648,-97.7970748
DUMAS,35.8630199,-101.9663192
THE COLONY,33.0890094,-96.8863922
NOLANVILLE,31.0787888,-97.6055694
UVALDE,29.300357,-99.7733181
FT HOOD,31.2012636,-97.70842502110759
LIVINGSTON,30.711029,-94.9329898
ROCKWALL,32.8923464,-96.4066987
LA PORTE,29.6657838,-95.0193729
DUNCANVILLE,32.6518004,-96.9083366
EL CAMPO,29.1966405,-96.2696867
ACADEMIC,31.44010775,-100.4653419618974
SULPHUR SPRINGS,33.1384886,-95.6010143
MARBLE FALLS,30.5777511,-98.2756505
FAIR OAKS RANCH,29.7457771,-98.6433561
"4500 S LANCASTER RD, DALLAS",32.69461555,-96.7888898369055
GATESVILLE,31.4351645,-97.743911
FLORESVILLE,29.1335781,-98.1561192
BELLMEAD,31.5940545,-97.1088903
JACKSONVILLE,31.963778,-95.2705042
HAMILTON,31.6429346,-97.9715967
AZLE,32.8975875,-97.5437799
BONHAM,33.5822077,-96.1785028
"BIG SPRING,",32.250398,-101.4787356
GLADEWATER,32.5365333,-94.9427169
DRIPPING SPRINGS,30.1902067,-98.0866781
SHEPPARD AFB,33.98750455,-98.50127258819343
MINERAL WELLS,32.8084605,-98.1128223
COLLEYVILLE,32.8809603,-97.155012
10301 GATEWAY BLVD W,31.756934649999998,-106.34985377519106
BEDFORD,32.844017,-97.1430671
RAYMONDVILLE,26.4814565,-97.783051
PARKER,32.7599475,-97.7935767
BROOKSHIRE,29.7860643,-95.9510661
EAGLE PASS,28.7099337,-100.493813
KERRVILLE,30.048469,-99.1399464
MEXIA,31.6816183,-96.4783677
PITTSBURG,32.9954021,-94.9657688
JERSEY VILLAGE,29.888578,-95.5699185
EL PASSO,,
VAN ALSTYNE,33.4220266,-96.5764834
FREDERICKSBURG,30.2752011,-98.8719843
GREENVILLE,33.1384488,-96.1108066
"LUBBOCK,",33.5634402,-101.8792389
FLINT,32.2031228,-95.3489561
BOERNE,29.7946641,-98.7319703
EDINGBURG,,
PORTER,30.1024397,-95.2296553
FORTH WORTH,32.7369895,-97.46298929973253
FT WORTH,32.753177,-97.3327459
SHENADOAH,,
HIGHLAND VILLAGE,33.091788,-97.0466759
JBSA-LACKLAND AFB,,
DRIFTWOOD,30.1229876,-98.0308425
HENDRSON,,
DICKINSON,29.4607876,-95.0513173
SAN ANTIONIO,,
MANOR,30.3420882,-97.555905
SEGUIN,29.5688411,-97.9647269
"SAN ANTONIO, TX",29.4246002,-98.4951405
GRAND PRARIE,29.937182,-95.281803
DEL RIO,29.3655405,-100.894698
LYTLE,29.2330215,-98.797873
LAUGHLIN AFB,29.3614054,-100.778572
MT. PLEASANT,33.1570582,-94.9694007
TAHOKA,33.1647623,-101.797109
KELLER,32.9299655,-97.2271249
ROUNDROCK,33.1793041,-96.6565935
FORTHWORTH,,
EASTLAND,32.2978594,-98.8630896
LA GRANGE,29.9080038,-96.8730449
SAN BENITO,26.1326237,-97.630791
LA  GRANGE,29.9080038,-96.8730449
HASKELL,33.1542164,-99.7199972
MAGNOLIA,30.2094574,-95.7508098
LINDALE,32.5156971,-95.4093998
JBSA SAN ANTONIO,29.47875735,-98.42324427289739
FRANKSTON,32.0543013,-95.5059246
GRANDBURY,33.1757328,-96.7761746
UT PHYSICIANS,29.7878398,-95.4108626
KERMIT,31.8578999,-103.0932149
CROCKETT,30.6517377,-101.3766686
KILGORE,32.3860733,-94.8758518
BEE CAVE,30.3085373,-97.94501
FORT STOCKTON,30.891901,-102.883662
NACOGDOCHES,31.5970503,-94.5927451
HONOLULU,27.6476185,-99.5359965
STEPHENVILLE,32.2191836,-98.2130634
DONNA,26.1702082,-98.0522376
LEVELLAND,33.5873164,-102.37796
FT. SAM HOUSTON,29.4623452,-98.43205583385978
KILLEN,31.1231521,-97.3327689
LITTLEFIELD,33.9189172,-102.332836
DALLAS TX,32.7762719,-96.7968559
MARSHALL,32.5447756,-94.3661004
SEALY,29.7789913,-96.1568381
COLLIN COUNTY,33.1609629,-96.6060984
KINGSVILLE,27.5158689,-97.856109
LUBBOX,,
TEXAS CITY,29.396013,-94.9175485
WICHITA FALL,,
PAMPA,35.536297,-100.9601552
"NASSAU BAY, TX",29.5446753,-95.0910413
LOCKHART,29.8832105,-97.6736292
LUCAS,33.0842854,-96.5766577
WHITEHOUSE,32.2268666,-95.2259279
"COLLEGE STATION,",30.5955289,-96.3071042
7000 FANNIN ST,29.7029914,-95.4031517
SWEETWATER,32.4709519,-100.405938
WOODVILLE,30.7770894,-94.4185051
WOODLANDS,29.95588735,-97.85063873159599
"EDINBURG, TX 78539",26.3013982,-98.1624501
LAFAYETTE,32.8983381,-94.856028
SUITE 268,30.6502477,-97.6767076
WINNIE,29.8202205,-94.3840777
RED OAK,32.5117104,-96.80836332870047
SAN ANOTNIO,,
SEMINOLE,32.7167351,-102.6490967
WHEELER,35.3921902,-100.2632764
710 CYPRESS CREEK PK,30.4781458,-97.82376433371336
TEXARCANA,,
DENNIS,32.6187445,-97.9267037
GALVESTION,,
TAXARKANA,,
MENTONE,31.7067958,-103.598792
MT PLEASANTL,,
BOURNE,32.6944091,-97.1823752
PFUGERVILLE,30.4562478,-97.6611681
BRYAN/COLLEGE STATION,30.63009225,-96.33683659611643
SPEARMAN,36.1938947,-101.1921818
FT SAM HOUSONT,,
ARGYLE,33.108831,-97.18012724904267
LOCKNEY,34.1245183,-101.4415521
LAMPASAS,31.1761363,-98.240563
DALLAS FORT WORTH,32.89651945,-97.0465220537124
KAUFMAN,32.601641,-96.3375126
OLNEY,33.3711244,-98.7566946
GOODFELLOW AFB,31.43206995,-100.40622837004196
GRAHAM,33.1020053,-98.581341
CALDWELL,29.8298971,-97.5959641
FORTWORTH,,
LUMBERTON,30.2655322,-94.1991444
DECATUR,33.2342834,-97.5861393
TEXAS,52.16323445,9.331834358492516
HALLETTSVILLE,29.4438528,-96.9410929
LANCASTER,32.5920798,-96.7561083
CUERO,29.0938036,-97.2900564
PALMHURST,26.2584053,-98.3180712
HOUTSON,,
CLEVELAND,30.3414794,-95.0900115
SAGINAW,32.8601275,-97.3639068
"AUSTIN, TX",30.2711286,-97.7436995
ROSHARON,29.3521203,-95.460341
LACKLAND,29.3862862,-98.60090009131218
DALAS,32.7762719,-96.7968559
JBFSH,,
MIDLANDQ,,
HOSTON,30.6528276,-96.4370896
SAN ANTONO,,
MASNFIELD,,
CASTROVILLE,29.3565001,-98.8788844
DYESS AFB,32.42063865,-99.83817709285637
HARLLINGEN,,
GAINESVILLE,33.6258504,-97.1332963
FORTH HOOD,,
ALICE,27.7522487,-98.0697249
NAVASOTA,30.3874135,-96.0875066
BROWNWOOD,31.7070026,-98.9831022
SPRINGS,28.5249088,-99.8616529
BALLINGER,31.7411047,-99.9530698
MUENSTER,33.6515343,-97.3762777
"THE WOODLANDS, TX",30.1734194,-95.504686
PERRYTON,36.3910229,-100.8059035
,-28.906596,151.1263554
GAVESTON,,
"GALVESTON, TX",29.3872254,-94.992736
JOURDANTON,28.9180294,-98.5464069
"SAN ANTONIO, TEXAS",29.4246002,-98.4951405
WILLOW PARK,32.7626286,-97.6505822
4502 MEDICAL DRIVE,29.5078264,-98.57809431949016
COPPERAS COVE,31.124062,-97.9030785
JBSA-FORT SAM HOUSTO,,
FRESNO,29.5388465,-95.4474414
MT PLEASANT,33.1570582,-94.9694007
PORT NECHES,29.9913244,-93.9585067
GEROGETOWN,,
CORINTH,33.1540091,-97.0647322
TAYLOR,32.2793121,-99.8812612
"ROUND ROCK, AUSTIN",30.47680365,-97.67381693324529
DEER PARK,29.7052284,-95.1238204
CLIFTON,31.7800712,-97.5793301
RUSK,32.051377,-94.7906553
"DALLAS, TX",32.7762719,-96.7968559
